"csv_column","source_variable","data_type","section","json_path"
"sat26_vigilancia_decisiones_otro","sat26_vigilancia_decisiones_otro","text","vigilancia","payload.vigilancia.sat26_vigilancia_decisiones_otro"
"sat26_infra_vigilancia_sistema_logistico","sat26_infra_vigilancia_sistema_logistico","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_sistema_logistico"
"sat26_infra_vigilancia_transporte","sat26_infra_vigilancia_transporte","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_transporte"
"sat26_infra_vigilancia_oficina","sat26_infra_vigilancia_oficina","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_oficina"
"sat26_infra_vigilancia_laboratorio","sat26_infra_vigilancia_laboratorio","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_laboratorio"
"sat26_infra_vigilancia_insectario","sat26_infra_vigilancia_insectario","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_insectario"
"sat26_infra_vigilancia_computadoras","sat26_infra_vigilancia_computadoras","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_computadoras"
"sat26_infra_vigilancia_trampas","sat26_infra_vigilancia_trampas","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_trampas"
"sat26_infra_vigilancia_suministros","sat26_infra_vigilancia_suministros","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_suministros"
"sat26_infra_vigilancia_moviles","sat26_infra_vigilancia_moviles","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_moviles"
"sat26_infra_vigilancia_adquisicion","sat26_infra_vigilancia_adquisicion","text","infraestructura","payload.infraestructura.sat26_infra_vigilancia_adquisicion"
"sat26_infra_laboratorio_gestionado","sat26_infra_laboratorio_gestionado","text","infraestructura","payload.infraestructura.sat26_infra_laboratorio_gestionado"
"sat26_infra_conoce_laboratorio","sat26_infra_conoce_laboratorio","text","infraestructura","payload.infraestructura.sat26_infra_conoce_laboratorio"
"sat26_infra_laboratorio_capacidad_otro","sat26_infra_laboratorio_capacidad_otro","text","infraestructura","payload.infraestructura.sat26_infra_laboratorio_capacidad_otro"
"sat26_infra_insectario_gestionado","sat26_infra_insectario_gestionado","text","infraestructura","payload.infraestructura.sat26_infra_insectario_gestionado"
"sat26_infra_colonia_aedes","sat26_infra_colonia_aedes","text","infraestructura","payload.infraestructura.sat26_infra_colonia_aedes"
"sat26_infra_colonia_anopheles","sat26_infra_colonia_anopheles","text","infraestructura","payload.infraestructura.sat26_infra_colonia_anopheles"
"sat26_infra_control_sistema_logistico","sat26_infra_control_sistema_logistico","text","infraestructura","payload.infraestructura.sat26_infra_control_sistema_logistico"
"sat26_infra_control_transporte","sat26_infra_control_transporte","text","infraestructura","payload.infraestructura.sat26_infra_control_transporte"
"sat26_infra_control_oficina","sat26_infra_control_oficina","text","infraestructura","payload.infraestructura.sat26_infra_control_oficina"
"sat26_infra_control_bodega","sat26_infra_control_bodega","text","infraestructura","payload.infraestructura.sat26_infra_control_bodega"
"sat26_infra_control_computadoras","sat26_infra_control_computadoras","text","infraestructura","payload.infraestructura.sat26_infra_control_computadoras"
"sat26_infra_control_rociado","sat26_infra_control_rociado","text","infraestructura","payload.infraestructura.sat26_infra_control_rociado"
"sat26_infra_control_llins","sat26_infra_control_llins","text","infraestructura","payload.infraestructura.sat26_infra_control_llins"
"sat26_infra_control_insecticidas_irs","sat26_infra_control_insecticidas_irs","text","infraestructura","payload.infraestructura.sat26_infra_control_insecticidas_irs"
"sat26_infra_control_mosquiteros_viremicos","sat26_infra_control_mosquiteros_viremicos","text","infraestructura","payload.infraestructura.sat26_infra_control_mosquiteros_viremicos"
"sat26_infra_control_larvicidas","sat26_infra_control_larvicidas","text","infraestructura","payload.infraestructura.sat26_infra_control_larvicidas"
"sat26_infra_control_epp","sat26_infra_control_epp","text","infraestructura","payload.infraestructura.sat26_infra_control_epp"
"sat26_infra_control_otros_equipos","sat26_infra_control_otros_equipos","text","infraestructura","payload.infraestructura.sat26_infra_control_otros_equipos"
"sat26_infra_control_cadena_suministro","sat26_infra_control_cadena_suministro","text","infraestructura","payload.infraestructura.sat26_infra_control_cadena_suministro"
"sat26_info_vigilancia_recoleccion_usa","sat26_info_vigilancia_recoleccion_usa","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_recoleccion_usa"
"sat26_info_vigilancia_recoleccion_otro","sat26_info_vigilancia_recoleccion_otro","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_recoleccion_otro"
"sat26_info_vigilancia_apps","sat26_info_vigilancia_apps","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_apps"
"sat26_info_vigilancia_almacenamiento_otro","sat26_info_vigilancia_almacenamiento_otro","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_almacenamiento_otro"
"sat26_info_vigilancia_reporte_otro","sat26_info_vigilancia_reporte_otro","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_reporte_otro"
"sat26_info_vigilancia_limitacion","sat26_info_vigilancia_limitacion","text","sistemas_info","payload.sistemas_info.sat26_info_vigilancia_limitacion"
"sat26_info_control_recoleccion_usa","sat26_info_control_recoleccion_usa","text","sistemas_info","payload.sistemas_info.sat26_info_control_recoleccion_usa"
"sat26_info_control_recoleccion_otro","sat26_info_control_recoleccion_otro","text","sistemas_info","payload.sistemas_info.sat26_info_control_recoleccion_otro"
"sat26_info_control_apps","sat26_info_control_apps","text","sistemas_info","payload.sistemas_info.sat26_info_control_apps"
"sat26_info_control_almacenamiento_otro","sat26_info_control_almacenamiento_otro","text","sistemas_info","payload.sistemas_info.sat26_info_control_almacenamiento_otro"
"sat26_info_control_reporte_otro","sat26_info_control_reporte_otro","text","sistemas_info","payload.sistemas_info.sat26_info_control_reporte_otro"
"sat26_info_control_limitacion","sat26_info_control_limitacion","text","sistemas_info","payload.sistemas_info.sat26_info_control_limitacion"
"sat26_comunidad_participacion","sat26_comunidad_participacion","text","comunidad","payload.comunidad.sat26_comunidad_participacion"
"sat26_comunidad_actividades_otro","sat26_comunidad_actividades_otro","text","comunidad","payload.comunidad.sat26_comunidad_actividades_otro"
"sat26_comunidad_momento_otro","sat26_comunidad_momento_otro","text","comunidad","payload.comunidad.sat26_comunidad_momento_otro"
"sat26_investigacion_agenda","sat26_investigacion_agenda","text","investigacion","payload.investigacion.sat26_investigacion_agenda"
"sat26_investigacion_agenda_vectores","sat26_investigacion_agenda_vectores","text","investigacion","payload.investigacion.sat26_investigacion_agenda_vectores"
"sat26_investigacion_operativa_aedes","sat26_investigacion_operativa_aedes","text","investigacion","payload.investigacion.sat26_investigacion_operativa_aedes"
"k3a_investigacion_titulo","sat26_investigacion_titulo","text","investigacion","payload.investigacion.sat26_investigacion_titulo"
"k3b_investigacion_referencias","sat26_investigacion_referencias","text","investigacion","payload.investigacion.sat26_investigacion_referencias"
"k3c_1_1_ref_nombre_informes","sat26_investigacion_ref_nombre_informes","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_informes"
"k3c_2_1_ref_nombre_articulos","sat26_investigacion_ref_nombre_articulos","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_articulos"
"k3c_3_1_ref_nombre_congresos","sat26_investigacion_ref_nombre_congresos","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_congresos"
"k3c_4_1_ref_nombre_multilaterales","sat26_investigacion_ref_nombre_multilaterales","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_multilaterales"
"k3c_5_1_ref_nombre_tesis","sat26_investigacion_ref_nombre_tesis","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_tesis"
"k3c_6_1_ref_nombre_financiamiento","sat26_investigacion_ref_nombre_financiamiento","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_financiamiento"
"k3c_7_1_ref_nombre_prensa","sat26_investigacion_ref_nombre_prensa","text","investigacion","payload.investigacion.sat26_investigacion_ref_nombre_prensa"
"k3d_1_1_ref_link_informes","sat26_investigacion_ref_link_informes","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_informes"
"k3d_2_1_ref_link_articulos","sat26_investigacion_ref_link_articulos","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_articulos"
"k3d_3_1_ref_link_congresos","sat26_investigacion_ref_link_congresos","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_congresos"
"k3d_4_1_ref_link_multilaterales","sat26_investigacion_ref_link_multilaterales","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_multilaterales"
"k3d_5_1_ref_link_tesis","sat26_investigacion_ref_link_tesis","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_tesis"
"k3d_6_1_ref_link_financiamiento","sat26_investigacion_ref_link_financiamiento","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_financiamiento"
"k3d_7_1_ref_link_prensa","sat26_investigacion_ref_link_prensa","text","investigacion","payload.investigacion.sat26_investigacion_ref_link_prensa"
"k3e_1_1_ref_documento_informes","sat26_investigacion_ref_documento_informes","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_informes"
"k3e_2_1_ref_documento_articulos","sat26_investigacion_ref_documento_articulos","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_articulos"
"k3e_3_1_ref_documento_congresos","sat26_investigacion_ref_documento_congresos","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_congresos"
"k3e_4_1_ref_documento_multilaterales","sat26_investigacion_ref_documento_multilaterales","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_multilaterales"
"k3e_5_1_ref_documento_tesis","sat26_investigacion_ref_documento_tesis","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_tesis"
"k3e_6_1_ref_documento_financiamiento","sat26_investigacion_ref_documento_financiamiento","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_financiamiento"
"k3e_7_1_ref_documento_prensa","sat26_investigacion_ref_documento_prensa","text","investigacion","payload.investigacion.sat26_investigacion_ref_documento_prensa"
"k5_compartir_entonet","sat26_investigacion_compartir_entonet","text","investigacion","payload.investigacion.sat26_investigacion_compartir_entonet"
"k6_compartir_ops","sat26_investigacion_compartir_ops","text","investigacion","payload.investigacion.sat26_investigacion_compartir_ops"
"k3b_1_1_ref_tipo_informes","sat26_investigacion_ref_tipo_informes","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_informes"
"k3b_2_1_ref_tipo_articulos","sat26_investigacion_ref_tipo_articulos","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_articulos"
"k3b_3_1_ref_tipo_congresos","sat26_investigacion_ref_tipo_congresos","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_congresos"
"k3b_4_1_ref_tipo_multilaterales","sat26_investigacion_ref_tipo_multilaterales","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_multilaterales"
"k3b_5_1_ref_tipo_tesis","sat26_investigacion_ref_tipo_tesis","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_tesis"
"k3b_6_1_ref_tipo_financiamiento","sat26_investigacion_ref_tipo_financiamiento","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_financiamiento"
"k3b_7_1_ref_tipo_prensa","sat26_investigacion_ref_tipo_prensa","multi_select_semicolon","investigacion_ref_tipos","payload.investigacion_ref_tipos.sat26_investigacion_ref_tipo_prensa"
"sat26_regional_punto_focal","sat26_regional_punto_focal","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_punto_focal"
"sat26_regional_acuerdos","sat26_regional_acuerdos","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_acuerdos"
"sat26_regional_frecuencia_intercambio","sat26_regional_frecuencia_intercambio","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_frecuencia_intercambio"
"sat26_regional_sistemas_invasoras","sat26_regional_sistemas_invasoras","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_sistemas_invasoras"
"sat26_regional_cambio_climatico","sat26_regional_cambio_climatico","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_cambio_climatico"
"sat26_regional_redes","sat26_regional_redes","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_redes"
"sat26_regional_mecanismos","sat26_regional_mecanismos","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_mecanismos"
"sat26_regional_plataformas","sat26_regional_plataformas","text","colaboracion_regional","payload.colaboracion_regional.sat26_regional_plataformas"
